TRAVELER_ID,GENDER,AGE_GRP,INCOME,trip_day,TRAVEL_NUM,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_MOTIVE_1,TRAVEL_COMPANIONS_NUM,SIDO,GUNGU,VISIT_AREA_NM,RESIDENCE_TIME_MIN,VISIT_AREA_TYPE_CD,REVISIT_YN,DGSTFN,REVISIT_INTENTION,RCMDTN_INTENTION,sort
a004793,0,20,1,1,1,4,3,3,4,4,3,4,4,8,0,서울,중구,천주교서울대교구 주교좌 명동대성당,30,2,1,3,3,4,1164
a005670,1,20,6,1,1,2,2,2,4,6,5,3,3,1,2,경기,의왕시,청계사,30,2,0,5,4,5,801
a001982,1,20,1,2,7,2,1,3,3,5,5,2,3,7,0,서울특별시,중구,청계천헌책방거리,60,4,0,4,3,4,736
a000984,0,20,6,5,10,3,3,2,4,5,3,4,5,7,0,서울,종로구,청와대,60,7,0,4,1,4,754
a005191,1,20,5,1,4,3,3,2,4,5,3,4,5,9,1,서울,종로구,청와대,60,2,0,4,3,3,1555
a004007,1,20,4,3,1,3,3,2,4,5,3,4,5,1,0,서울,종로구,청와대,30,2,0,5,5,5,1727
a014948,1,20,4,2,2,3,3,2,4,5,3,4,5,7,2,서울,종로구,청와대,150,2,0,5,5,4,66
a005198,1,20,2,1,4,3,3,2,4,5,3,4,5,1,0,서울,종로구,청와대,30,2,0,4,4,4,521
a002121,1,20,4,2,2,3,3,2,4,5,3,4,5,3,1,서울,종로구,청와대,60,2,0,5,4,5,1391
a000751,1,20,1,3,6,3,3,2,4,5,3,4,5,4,0,서울,종로구,청와대,60,2,0,5,5,5,1271
a008107,0,20,4,1,4,3,3,2,4,5,3,4,5,1,3,서울,종로구,청와대,60,2,0,4,4,3,186
a000962,0,20,1,3,2,3,3,2,4,5,3,4,5,2,0,서울,종로구,청와대,60,2,0,2,1,3,863
a005198,1,20,2,1,4,3,3,2,4,5,3,4,5,1,0,서울,종로구,청와대,30,2,0,4,4,4,520
a001293,1,20,1,2,1,3,3,2,4,5,3,4,5,1,3,서울,종로구,청와대,30,2,0,5,5,5,272
a001130,0,20,3,2,1,3,3,2,4,5,3,4,5,9,5,서울,종로구,청와대,90,2,0,5,5,5,1538
a000181,0,20,2,2,1,3,3,2,4,5,3,4,5,3,1,서울,종로구,청와대,120,2,0,5,5,5,363
a008348,0,20,6,2,2,3,3,2,4,5,3,4,5,7,1,서울,종로구,청와대,120,2,0,4,4,5,838
a010288,1,20,4,3,1,3,3,2,4,5,3,4,5,7,1,서울,종로구,청와대,60,2,0,5,5,5,344
c005343,1,20,4,1,10,3,3,2,4,5,3,4,5,1,1,서울,종로구,청와대,30,2,0,5,5,5,389
a017546,1,20,4,1,4,4,3,2,5,5,5,3,5,7,0,서울,종로구,청운문학도서관,30,3,0,5,5,5,83
a005423,0,20,5,2,1,4,3,2,5,5,5,3,5,2,0,서울,종로구,청운문학도서관,120,2,0,5,5,5,1626
a001109,0,20,2,3,3,4,3,2,5,5,5,3,5,1,1,서울,종로구,청운문학도서관,30,1,0,5,5,5,1012
a000568,0,20,1,2,2,1,1,1,4,4,4,5,4,7,3,경기,가평군,청평자연휴양림,60,7,0,5,5,5,498
a000852,1,20,5,2,4,3,2,1,2,2,3,4,4,1,1,경기,양평군,추억의청춘뮤지엄,120,3,0,4,3,4,1055
a003668,1,20,3,1,1,4,1,4,5,5,4,5,3,1,1,경기,성남시,춘향골,60,4,0,5,5,5,1764
a000506,1,20,3,10,3,6,2,2,2,4,4,4,6,4,0,서울,중구,충무아트센터 대극장,210,3,1,5,5,5,1440
a007837,1,20,3,1,1,6,2,2,2,4,4,4,6,1,0,서울,중구,충무아트센터 대극장,180,3,1,5,5,5,1628
a003965,1,20,4,1,5,2,4,2,3,4,4,2,4,7,0,경기,파주시,카메라타,90,3,0,3,4,4,825
a001639,1,20,10,2,1,2,4,2,3,4,4,2,4,4,0,경기,파주시,카메라타,180,3,1,5,5,5,1103
a001380,1,20,2,2,8,4,2,2,4,4,4,4,6,2,1,경기,수원시,카자구루마,30,2,0,3,3,3,714
a006803,1,20,4,1,14,4,2,2,4,4,4,4,6,7,0,경기,수원시,카자구루마,60,2,0,3,2,3,1202
a003525,0,20,5,2,3,5,5,3,4,2,3,5,4,1,1,서울,중구,카페피크닉,30,4,0,4,4,4,1819
d002276,1,20,4,2,1,3,2,2,1,4,4,5,6,3,3,경기,양평군,카포레,60,3,0,4,4,4,935
a000163,0,20,1,1,2,4,2,3,3,2,5,5,6,3,3,경기,용인시,캐리비안베이,540,6,1,5,4,4,1303
a000493,1,20,4,3,7,4,2,3,3,2,5,5,6,1,4,경기,용인시,캐리비안베이,390,6,1,5,5,5,920
a000928,1,20,1,2,1,4,2,3,3,2,5,5,6,2,0,경기,용인시,캐리비안베이,300,6,1,5,5,5,631
a000978,1,20,2,3,3,4,2,3,3,2,5,5,6,3,1,경기,용인시,캐리비안베이,450,6,1,5,5,5,690
a004700,1,20,2,2,1,4,2,3,3,2,5,5,6,3,1,경기,용인시,캐리비안베이,420,6,0,5,5,5,1307
a003127,1,20,4,4,1,2,2,1,2,7,2,2,6,4,0,경기,부천시,캐치스톤클라이밍짐,240,5,0,5,5,5,1041
a000568,0,20,1,2,2,2,2,2,3,3,4,5,6,7,3,경기,가평군,캠프통포레스트,180,5,0,4,4,4,497
a001591,1,20,2,2,7,2,2,2,3,3,4,5,6,7,3,경기,가평군,캠프통포레스트,300,5,0,3,2,4,1902
a002786,1,20,3,4,6,4,2,2,5,6,2,4,6,2,3,서울,광진구,커먼그라운드,30,4,1,4,4,4,875
a002284,1,20,5,2,1,4,2,2,5,6,2,4,6,3,1,서울,광진구,커먼그라운드,30,4,0,4,3,3,1742
a002896,1,20,4,1,3,1,1,2,5,1,1,4,7,7,1,경기,평택시,커피마을,90,7,0,5,5,5,1065
a007328,1,20,4,1,3,6,6,6,6,6,6,6,6,5,0,서울,송파구,케이스포돔 올림픽체조경기장,180,5,0,5,5,5,778
a007328,1,20,4,1,3,6,6,6,6,6,6,6,6,5,0,서울,송파구,케이스포돔 올림픽체조경기장,60,5,0,4,3,3,777
a001316,1,20,2,4,2,4,2,3,5,5,4,3,5,7,5,인천,연수구,코마린 이스트보트하우스 송도지점,90,5,0,5,5,5,351
a001160,0,20,5,2,2,4,2,3,5,5,4,3,5,1,1,인천,연수구,코마린 이스트보트하우스 송도지점,60,5,0,4,3,4,544
a000182,0,20,5,3,2,4,3,3,3,3,4,4,5,1,1,서울,강남구,코엑스,60,3,0,5,5,5,567
a002985,1,20,4,2,3,4,3,3,3,3,4,4,5,2,0,서울,강남구,코엑스,30,4,0,5,5,5,1450
a000117,1,20,2,2,2,4,3,3,3,3,4,4,5,8,1,서울,강남구,코엑스,240,4,1,5,5,5,95
a000110,1,20,4,4,2,4,3,3,3,3,4,4,5,2,0,서울,강남구,코엑스,90,3,0,4,4,4,86
a001964,1,20,2,2,4,4,3,3,3,3,4,4,5,1,0,서울,강남구,코엑스,60,3,1,4,4,4,308
a018136,1,20,3,1,2,4,3,3,3,3,4,4,5,1,1,서울,강남구,코엑스,30,4,1,5,4,5,526
a000824,1,20,4,2,5,4,3,3,3,3,4,4,5,1,0,서울,강남구,코엑스,300,8,0,4,4,4,609
a001922,1,20,3,2,2,4,3,3,3,3,4,4,5,6,2,서울,강남구,코엑스,120,4,0,4,3,3,454
a007205,1,20,1,1,8,4,3,3,3,3,4,4,5,2,0,서울,강남구,코엑스,60,4,1,4,4,4,1120
a007408,1,20,2,1,6,4,3,3,3,3,4,4,5,7,0,서울,강남구,코엑스,30,4,1,4,4,4,494
d004175,1,20,4,2,1,4,3,3,3,3,4,4,5,5,1,서울,강남구,코엑스,300,3,1,5,5,5,840
a001922,1,20,3,2,2,4,3,3,3,3,4,4,5,6,2,서울,강남구,코엑스,90,4,1,5,5,5,455
a003383,0,20,4,2,1,4,3,3,3,3,4,4,5,7,0,서울,강남구,코엑스,120,4,1,5,5,4,458
a000984,0,20,6,5,10,4,3,3,3,3,4,4,5,7,0,서울,강남구,코엑스,210,8,0,5,4,4,749
a002971,0,20,2,4,1,4,3,3,3,3,4,4,5,2,0,서울,강남구,코엑스,60,4,1,5,5,5,112
a002985,1,20,4,2,3,4,3,3,3,3,4,4,5,2,0,서울,강남구,코엑스,60,4,1,3,3,3,1449
a004100,1,20,1,3,3,4,2,3,3,2,5,5,6,1,0,서울,송파구,코지블루,30,4,0,5,5,4,268
a002121,1,20,4,2,2,4,2,1,3,6,5,3,6,3,1,서울,종로구,콘텐츠박스,120,3,0,4,5,5,1394
a017256,0,20,4,2,1,4,2,1,3,6,5,3,6,1,3,서울,종로구,콘텐츠박스,150,3,0,5,5,5,929
a003242,0,20,1,3,1,4,2,1,3,6,5,3,6,3,1,서울,종로구,콘텐츠박스,120,3,0,5,5,5,556
a010954,1,20,3,2,1,4,2,1,3,6,5,3,6,7,1,서울,종로구,콘텐츠박스,120,3,0,4,4,4,1598
a000557,0,20,2,3,4,6,2,1,3,5,5,7,7,3,1,서울,종로구,콘텐츠플래닝,120,3,0,4,4,4,1760
a000477,1,20,5,2,4,4,5,4,7,4,2,7,7,2,1,서울,성동구,크리스찬 디올 성수,30,4,0,3,4,3,1167
a006032,1,20,3,1,2,6,2,2,2,5,4,1,7,7,1,서울,종로구,키득키득아트홀,180,3,0,5,5,5,909
a010958,1,20,4,2,2,6,2,2,1,4,6,2,7,7,1,서울,강남구,키이스케이프 강남 더오름,90,3,0,5,5,5,385
a011721,1,20,1,2,3,5,4,4,3,2,3,4,5,7,2,경기,고양시,킨텍스,30,8,0,5,5,5,912
a000623,1,20,4,2,4,5,4,4,3,2,3,4,5,1,1,경기,고양시,킨텍스,60,3,0,4,4,4,1462
a005546,0,20,2,2,4,5,4,4,3,2,3,4,5,2,1,경기,고양시,킨텍스,120,3,0,4,4,4,1078
a011721,1,20,1,2,3,5,4,4,3,2,3,4,5,7,2,경기,고양시,킨텍스,270,8,0,5,5,5,910
a017622,0,20,3,1,2,5,4,4,3,2,3,4,5,8,0,경기,고양시,킨텍스,180,3,0,5,5,5,1685
a017689,1,20,3,1,1,5,4,4,3,2,3,4,5,7,1,경기,고양시,킨텍스,210,3,1,5,5,5,1798
a004359,1,20,4,2,1,5,4,4,3,2,3,4,5,3,1,경기,고양시,킨텍스,60,3,1,5,5,5,914
a009668,1,20,2,3,2,4,3,3,4,4,4,4,4,3,1,서울,영등포구,타임스퀘어,60,4,0,3,3,3,1363
a005991,1,20,2,1,1,4,3,3,4,4,4,4,4,1,0,서울,영등포구,타임스퀘어,30,4,0,4,3,4,797
a002121,1,20,4,2,2,4,3,3,4,4,4,4,4,3,1,서울,영등포구,타임스퀘어,30,4,0,4,4,4,1392
a018188,1,20,4,1,1,4,3,3,4,4,4,4,4,3,1,서울,영등포구,타임스퀘어,60,4,0,3,3,3,537
a001132,1,20,4,4,2,4,3,3,4,4,4,4,4,7,0,서울,영등포구,타임스퀘어,60,4,1,4,5,5,941
a000503,1,20,4,5,2,4,3,3,4,4,4,4,4,2,6,서울,영등포구,타임스퀘어,30,4,1,5,5,5,1558
a002380,0,20,4,1,2,4,3,3,4,4,4,4,4,1,1,서울,영등포구,타임스퀘어,120,4,1,5,4,5,1019
a000669,0,20,2,2,3,4,3,3,4,4,4,4,4,1,0,서울,영등포구,타임스퀘어,30,4,1,5,5,5,627
